SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
60,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,02-02-1981 08:30,411,"",odour free,"","",0
61,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,16-02-1981 08:30,528,"",odour free,"","",0
62,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,02-03-1981 08:30,517,"",odour free,"","",0
63,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,16-03-1981 08:30,538,"",odour free,"","",0
64,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-04-1981 08:30,517,"",odour free,"","",0
65,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-04-1981 08:30,570,"",odour free,"","",0
66,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,04-05-1981 08:30,665,"",odour free,"","",0
67,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-05-1981 08:30,190,"",odour free,"","",0
68,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-06-1981 08:30,369,"",odour free,"","",0
69,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-06-1981 08:30,527,"",odour free,"","",0
70,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-07-1981 08:30,527,"",odour free,"","",0
71,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-07-1981 08:30,517,"",odour free,"","",0
72,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-08-1981 08:30,337,"",odour free,"","",0
73,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,17-08-1981 08:30,348,"",odour free,"","",0
74,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-09-1981 08:30,179,"",odour free,"","",0
75,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-09-1981 08:30,211,"",odour free,"","",0
76,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-10-1981 08:30,359,"",odour free,"","",0
77,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-10-1981 08:30,380,"",odour free,"","",0
78,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,02-11-1981 08:30,369,"",odour free,"","",0
79,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,16-11-1981 08:30,496,"",odour free,"","",0
80,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-12-1981 08:30,314,"",odour free,"","",0
81,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-12-1981 08:30,350,"",odour free,"","",0
82,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-01-1982 08:30,232,"",odour free,"","",0
83,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-01-1982 08:30,280,"",odour free,"","",0
84,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-02-1982 08:30,243,"",odour free,"","",0
85,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-02-1982 08:30,243,"",odour free,"","",0
86,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-03-1982 08:30,221,"",odour free,"","",0
87,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,15-03-1982 08:30,316,"",odour free,"","",0
